OperationTime	OperationUser	Module	IPAddress	ActionType	Memo
2006-07-20 17:48:35	系统管理员	部门管理	127.0.0.1	create	创建部门
2006-07-20 18:26:27	系统管理员	自定义菜单	127.0.0.1	save	执行新增菜单名称动作
2006-07-20 18:27:27	系统管理员	自定义菜单	127.0.0.1	save	执行新增菜单名称动作
2006-07-20 18:27:45	系统管理员	自定义菜单	127.0.0.1	save	执行隐藏菜单动作
2006-07-20 18:29:14	系统管理员	自定义菜单	127.0.0.1	del	执行删除菜单操作
2006-07-20 18:29:41	系统管理员	自定义菜单	127.0.0.1	save	执行菜单自定义动作
2006-07-20 19:43:47	系统管理员	部门管理	127.0.0.1	update	修改部门资料
2006-07-20 19:43:47	系统管理员	部门管理	127.0.0.1	update	修改部门资料
2006-07-20 19:44:41	系统管理员	部门管理	127.0.0.1	create	创建部门
2006-07-20 19:45:00	系统管理员	部门管理	127.0.0.1	create	创建部门
2006-07-20 19:45:26	系统管理员	部门管理	127.0.0.1	create	创建部门
2006-07-20 19:46:58	系统管理员	用户管理	127.0.0.1	create	创建用户
2006-07-20 19:47:33	系统管理员	用户管理	127.0.0.1	create	创建用户
2006-07-20 19:51:12	系统管理员	人员管理	127.0.0.1	setDepartmentuser	给部门分配用户
2006-07-20 19:51:32	系统管理员	人员管理	127.0.0.1	setDepartmentuser	给部门分配用户
2006-07-20 19:51:38	系统管理员	人员管理	127.0.0.1	setDepartmentuser	给部门分配用户
2006-07-20 19:52:23	系统管理员	用户管理	127.0.0.1	create	创建用户
2006-07-20 19:53:22	系统管理员	人员管理	127.0.0.1	setDepartmentuser	给部门分配用户
2006-07-20 19:54:32	系统管理员	岗位管理	127.0.0.1	create	创建岗位
2006-07-20 19:55:14	系统管理员	岗位管理	127.0.0.1	create	创建岗位
2006-07-20 19:55:28	系统管理员	岗位管理	127.0.0.1	create	创建岗位
2006-07-20 19:55:49	系统管理员	岗位管理	127.0.0.1	create	创建岗位
2006-07-21 00:15:46	系统管理员	资源管理	127.0.0.1	update	修改资源
2006-07-21 00:16:30	系统管理员	资源管理	127.0.0.1	update	修改资源
2006-07-21 00:21:48	系统管理员	层级管理	127.0.0.1	create	创建层级
2006-07-21 00:32:39	系统管理员	资源管理	127.0.0.1	update	修改资源

